Date,PF1_xgb_resid,VPF_xgb_resid,XGB_combined
2021-02-23,342466.6,821506.25,1163972.9
2021-02-24,-3372695.2,2034890.2,-1337805.0
2021-02-25,57841.02,-13476.956,44364.062
2021-02-26,1604610.2,1713479.6,3318090.0
2021-03-01,311.9784,-646.0086,-334.0302
2021-03-02,296.6363,-333.87292,-37.236633
2021-03-03,177.64616,-183.41795,-5.7717896
2021-03-04,218.45642,-311.26575,-92.809326
2021-03-05,303.2879,-261.3476,41.940308
2021-03-08,310.14444,-282.00665,28.137787
2021-03-09,223.40115,-372.85825,-149.45709
2021-03-10,232.79048,-510.53662,-277.74615
2021-03-11,286.1683,-510.89746,-224.72916
2021-03-12,226.99374,-213.1039,13.889847
2021-03-15,122.948395,-214.47955,-91.53116
2021-03-16,171.61035,-483.89148,-312.28113
2021-03-17,170.94142,-350.1297,-179.18828
2021-03-18,488.7222,-399.52875,89.19345
2021-03-19,360.0428,-476.41196,-116.36917
2021-03-22,696.0763,-664.2481,31.828186
2021-03-23,290.19507,-278.17642,12.018646
2021-03-24,308.19684,-460.9842,-152.78735
2021-03-25,336.73486,-446.77814,-110.043274
2021-03-26,362.10886,-450.50378,-88.39493
2021-03-29,353.01837,-352.25925,0.75912476
2021-03-30,283.52637,-270.60754,12.918823
2021-03-31,291.35248,-361.84067,-70.48819
2021-04-01,290.84784,-361.17465,-70.32681
2021-04-05,384.94534,-503.7316,-118.786255
2021-04-06,165.84196,-443.5538,-277.71185
2021-04-07,328.34055,-442.7802,-114.43967
2021-04-08,434.48642,-750.95215,-316.46573
2021-04-09,322.48193,-429.29843,-106.8165
2021-04-12,322.19098,-427.33005,-105.13907
2021-04-13,321.63638,-426.5899,-104.95352
2021-04-14,321.08374,-425.852,-104.76825
2021-04-15,320.53293,-425.11725,-104.58432
2021-04-16,319.98413,-424.3843,-104.40018
2021-04-19,217.37296,-226.84512,-9.472168
2021-04-20,353.88687,-362.2675,-8.380615
2021-04-21,353.27393,-361.6229,-8.3489685
2021-04-22,352.66342,-360.98065,-8.31723
2021-04-23,352.05502,-360.3405,-8.285492
2021-04-26,351.44824,-359.7027,-8.254456
2021-04-27,337.9746,-359.50497,-21.530365
