Date,Actual,LMD-ARIMA,LMD-SD-ARIMA-XGBoost
2022-01-18,85.42,84.1448,-6.2877
2022-01-19,86.84,84.2713,-38.4563
2022-01-20,86.29,85.5127,-37.0611
2022-01-21,85.16,86.9564,136.4186
2022-01-24,84.48,86.7521,34.5283
2022-01-25,86.61,84.8554,32.8348
2022-01-26,88.33,84.471,90.2406
2022-01-27,87.61,86.6923,56.041
2022-01-28,87.67,88.9727,-16.0224
2022-01-31,89.16,89.0595,22.8821
2022-02-01,88.22,87.9937,117.1796
2022-02-02,88.16,87.5343,-26.5654
2022-02-03,90.17,88.4766,37.3182
2022-02-04,92.27,89.7311,-62.5953
2022-02-07,91.25,91.0713,-99.2992
2022-02-08,89.32,91.8234,-124.634
2022-02-09,89.57,91.092,-154.4607
2022-02-10,89.83,89.4783,-155.7136
2022-02-11,93.1,88.6036,-43.7779
2022-02-14,95.52,90.9525,-100.5088
